rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/value_loss
-4.846153846153846,8192,511.53846153846155,1,1,6348,,,,,,,,,,
-4.857142857142857,16384,558.4642857142857,5,2,3136,-0.6120263338088989,0.03955078125,-2.0743969816714527,0.013607575558125973,10,0.0003,-0.004305785215183278,0.2,0.0062743775,0.021837009720911738
-4.775,24576,589.6,9,3,2607,0.40063607692718506,0.03511962890625,-2.06974687743932,-0.0010878825560212135,20,0.0003,-0.0039496751394835885,0.2,0.0058228066,0.020557691979411173
-4.830188679245283,32768,597.566037735849,13,4,2482,0.6449683010578156,0.04105224609375,-2.062724275700748,0.015837907791137695,30,0.0003,-0.0037441919226694153,0.2,0.0062416038,0.020317085090937326
-4.833333333333333,40960,602.5757575757576,17,5,2398,0.7770797908306122,0.068212890625,-2.0506083039566874,-0.012545916251838207,40,0.0003,-0.006254219265792926,0.2,0.0074599227,0.012684601634464342
-4.8354430379746836,49152,605.1139240506329,20,6,2359,0.8072628527879715,0.05040283203125,-2.0364156000316145,-0.022942660376429558,50,0.0003,-0.004931686725467443,0.2,0.006938926,0.016432877449915395
-4.857142857142857,57344,610.0439560439561,24,7,2337,0.838910698890686,0.0427001953125,-2.0418301936239005,0.003353152424097061,60,0.0003,-0.003705720442485472,0.2,0.005883417,0.015656789772037882
-4.85,65536,623.11,28,8,2320,0.8628931939601898,0.038232421875,-2.022715436294675,0.006644107401371002,70,0.0003,-0.004280811309035926,0.2,0.0052249087,0.01282490838875674
-4.85,73728,630.22,31,9,2305,0.8410060107707977,0.03155517578125,-2.028614324517548,-0.01508992537856102,80,0.0003,-0.0034524867447544238,0.2,0.0051323446,0.015366153266404581
-4.88,81920,622.47,35,10,2294,0.8621451109647751,0.055322265625,-2.0297669667750595,0.006953683216124773,90,0.0003,-0.005399105193373543,0.2,0.006562488,0.014234125105213024
-4.88,90112,618.96,39,11,2281,0.858643040060997,0.051806640625,-2.0233692076057195,0.006817130837589502,100,0.0003,-0.004083054901457217,0.2,0.0060676206,0.015462227303032705
-4.84,98304,629.49,43,12,2276,0.823141485452652,0.0368896484375,-2.0126376831904054,-0.009664198383688927,110,0.0003,-0.003813347236246045,0.2,0.0049046124,0.017519479008296913
-4.84,106496,643.93,46,13,2272,0.8042302131652832,0.0558837890625,-1.9909756830893457,-0.007410780526697636,120,0.0003,-0.0052249850210500885,0.2,0.0071573015,0.01931105537842086
-4.85,114688,633.17,50,14,2267,0.8360226601362228,0.05867919921875,-1.98554705157876,0.01220925897359848,130,0.0003,-0.006384068311672308,0.2,0.006408208,0.01557854433558532
-4.84,122880,633.88,54,15,2265,0.845250740647316,0.06536865234375,-1.9754381823353468,-0.004836276173591614,140,0.0003,-0.006522856224546558,0.2,0.006985998,0.014888036618685874
-4.83,131072,643.13,57,16,2260,0.8521663099527359,0.05592041015625,-1.9659198803827167,-0.0003103415947407484,150,0.0003,-0.00515239465794366,0.2,0.0063157775,0.013909172492822109
-4.84,139264,650.21,61,17,2256,0.8368182480335236,0.04791259765625,-1.9695236577652395,-0.028935300186276436,160,0.0003,-0.004689220954423945,0.2,0.0057863267,0.014540871180361136
-4.84,147456,665.39,65,18,2254,0.8596443235874176,0.03460693359375,-1.9548065659590066,-0.009487167932093143,170,0.0003,-0.004682571401281166,0.2,0.00575254,0.012291105368240096
-4.85,155648,670.55,69,19,2253,0.8374604731798172,0.0484130859375,-1.9438006188720465,0.00791284628212452,180,0.0003,-0.00448089545543553,0.2,0.0068283575,0.015646289688083924
-4.87,163840,658.6,72,20,2250,0.8584981113672256,0.057763671875,-1.9309127878397703,0.013759734109044075,190,0.0003,-0.003915317527025763,0.2,0.00707928,0.014700468501177965
-4.82,172032,650.71,76,21,2250,0.8345181345939636,0.057958984375,-1.9093167431652547,-0.022664157673716545,200,0.0003,-0.00703040746093393,0.2,0.0070369113,0.017845366084293345
-4.81,180224,660.82,80,22,2247,0.8437722474336624,0.0525634765625,-1.889170330017805,0.036899276077747345,210,0.0003,-0.005121445494296495,0.2,0.007077933,0.018152491666478456
-4.8,188416,667.47,83,23,2246,0.8730087429285049,0.0392333984375,-1.8981860052794217,0.0010639254469424486,220,0.0003,-0.003612465415335464,0.2,0.0056730025,0.01503653352301626
-4.82,196608,653.08,87,24,2244,0.8673248887062073,0.05220947265625,-1.8936286199837924,-0.012259747833013535,230,0.0003,-0.005537075592110341,0.2,0.007123204,0.014721122557239142
-4.83,204800,644.83,91,25,2243,0.8731649667024612,0.04881591796875,-1.8826831286773085,-0.0275157168507576,240,0.0003,-0.004500902721702005,0.2,0.0056062266,0.012603482467056892
-4.81,212992,631.32,95,26,2239,0.8503085076808929,0.061328125,-1.8779279910959303,-0.023759594187140465,250,0.0003,-0.005571303201577393,0.2,0.0073354114,0.01338426913425792
-4.78,221184,618.41,99,27,2231,0.8440344631671906,0.0559814453125,-1.8761280864477157,0.006038992665708065,260,0.0003,-0.0061900120284917644,0.2,0.006402881,0.013913940784004809
-4.81,229376,618.94,102,28,2229,0.8694240599870682,0.0457275390625,-1.8707725764252245,0.019379353150725365,270,0.0003,-0.0073352290498405635,0.2,0.00571281,0.014028633756242925
-4.81,237568,632.96,106,29,2228,0.8473727107048035,0.06427001953125,-1.836531310621649,0.004455076530575752,280,0.0003,-0.006996919432822324,0.2,0.007019916,0.01608050479007943
