train/explained_variance,time/total_timesteps,train/n_updates,time/iterations,train/value_loss,time/time_elapsed,train/policy_loss,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
0.9720901679247618,2000,99,100,0.005139916203916073,0,0.1167529970407486,0.0007,-2.03098726272583,495.0,3913,-5.0
0.9641061201691628,4000,199,200,0.0009534419514238834,1,0.03281978517770767,0.0007,-1.9512121677398682,572.8,3805,-4.8
0.9659204706549644,6000,299,300,0.0003973419370595366,1,-0.026566162705421448,0.0007,-1.8314800262451172,596.625,3828,-4.875
0.9658646434545517,8000,399,400,0.0013112389715388417,2,0.022088730707764626,0.0007,-1.7652904987335205,627.6363636363636,3854,-4.7272727272727275
0.9534836150705814,10000,499,500,0.0032167949248105288,2,-0.039024148136377335,0.0007,-1.5928490161895752,639.9285714285714,3869,-4.785714285714286
0.8020224720239639,12000,599,600,0.0026170113123953342,3,-0.040308382362127304,0.0007,-1.6494414806365967,634.3125,3896,-4.8125
0.9717831071466208,14000,699,700,0.0023539825342595577,3,-0.02256152592599392,0.0007,-1.6105098724365234,630.35,3915,-4.85
0.9706854894757271,16000,799,800,0.0021247651893645525,4,0.02724001184105873,0.0007,-1.577779769897461,635.6086956521739,3930,-4.869565217391305
0.6715013980865479,18000,899,900,0.049772344529628754,4,0.06046738475561142,0.0007,-1.4221327304840088,636.3846153846154,3937,-4.846153846153846
0.9945481149479747,20000,999,1000,0.0005147155607119203,5,-0.02509278990328312,0.0007,-1.5120593309402466,634.3448275862069,3944,-4.862068965517241
0.9922122554853559,22000,1099,1100,0.0009017561678774655,5,0.028894221410155296,0.0007,-1.4997613430023193,634.5151515151515,3953,-4.878787878787879
0.9884968427941203,24000,1199,1200,0.002894031349569559,6,-0.05981314182281494,0.0007,-1.155238389968872,643.9428571428572,3954,-4.857142857142857
0.866753026843071,26000,1299,1300,0.009201699867844582,6,-0.07987137138843536,0.0007,-1.1813573837280273,640.9230769230769,3972,-4.871794871794871
0.9318796172738075,28000,1399,1400,0.000618081830907613,7,-0.0008426985004916787,0.0007,-1.19041907787323,640.952380952381,3979,-4.880952380952381
0.9584325440227985,30000,1499,1500,0.001016385038383305,7,0.01406853087246418,0.0007,-1.020998239517212,634.7826086956521,3991,-4.869565217391305
0.9950084746815264,32000,1599,1600,0.0004347614594735205,8,0.0008069580653682351,0.0007,-0.9901072382926941,636.2244897959183,3997,-4.877551020408164
0.9978491989895701,34000,1699,1700,0.001151885138824582,8,0.02336602471768856,0.0007,-0.7832803130149841,639.4117647058823,4002,-4.882352941176471
0.9625034481287003,36000,1799,1800,0.0017281370237469673,8,0.009352894499897957,0.0007,-0.9583901166915894,635.4727272727273,4006,-4.890909090909091
0.9696672633290291,38000,1899,1900,0.0005551563808694482,9,0.007263010833412409,0.0007,-0.8578317761421204,634.7586206896551,4010,-4.896551724137931
0.993306431453675,40000,1999,2000,0.0010712246876209974,9,-0.004274148494005203,0.0007,-0.9209464192390442,640.15,4016,-4.883333333333334
0.9799602180719376,42000,2099,2100,0.0003883713507093489,10,0.01861993968486786,0.0007,-0.8888330459594727,637.46875,4020,-4.875
0.8170874714851379,44000,2199,2200,0.01292736828327179,10,-0.061406075954437256,0.0007,-0.9172767400741577,633.1194029850747,4020,-4.850746268656716
0.9625933617353439,46000,2299,2300,0.001167135895229876,11,-0.007178148720413446,0.0007,-1.0011807680130005,635.3571428571429,4025,-4.857142857142857
0.646808922290802,48000,2399,2400,0.007906834594905376,11,-0.012010633945465088,0.0007,-0.7867282629013062,633.3287671232877,4025,-4.863013698630137
0.9444028809666634,50000,2499,2500,0.0009355940856039524,12,-0.008922042325139046,0.0007,-0.7971145510673523,635.7402597402597,4031,-4.857142857142857
0.5682883560657501,52000,2599,2600,0.2381405085325241,12,-0.44095057249069214,0.0007,-1.1077463626861572,638.5,4033,-4.8375
0.0641750693321228,54000,2699,2700,0.007296707481145859,13,-0.039217788726091385,0.0007,-0.48979052901268005,638.6506024096385,4036,-4.831325301204819
0.9625193849205971,56000,2799,2800,0.002443403471261263,13,0.020494554191827774,0.0007,-0.5552513003349304,635.5116279069767,4038,-4.837209302325581
0.9329755529761314,58000,2899,2900,0.001244397135451436,14,-0.010699831880629063,0.0007,-0.7061338424682617,630.4666666666667,4040,-4.844444444444444
0.9987342021195218,60000,2999,3000,0.00017151182692032307,14,0.005048714112490416,0.0007,-0.5508445501327515,630.505376344086,4040,-4.849462365591398
0.7514339983463287,62000,3099,3100,0.0019939360208809376,15,-0.009280728176236153,0.0007,-0.6849654912948608,630.4226804123712,4044,-4.855670103092783
0.9933025501668453,64000,3199,3200,0.000488536199554801,15,0.01252718549221754,0.0007,-0.7518227696418762,630.1414141414141,4051,-4.858585858585859
0.9282315671443939,66000,3299,3300,0.008765456266701221,16,0.04492398351430893,0.0007,-0.6761311292648315,632.94,4049,-4.86
0.6239705085754395,68000,3399,3400,0.04832715913653374,16,0.018511109054088593,0.0007,-0.8025655746459961,633.01,4053,-4.87
0.4470224380493164,70000,3499,3500,0.008561130613088608,17,0.008277853950858116,0.0007,-0.550558865070343,630.86,4053,-4.87
0.4723973870277405,72000,3599,3600,0.027933567762374878,17,0.0575956292450428,0.0007,-0.9266523122787476,625.78,4052,-4.87
0.9903391543775797,74000,3699,3700,0.00047910725697875023,18,3.111604746663943e-05,0.0007,-1.0324431657791138,625.47,4054,-4.86
0.9754573218524456,76000,3799,3800,0.0005304844817146659,18,0.006914472673088312,0.0007,-1.4241306781768799,627.26,4054,-4.86
