rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/learning_rate,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss
-5.0,534.6666666666666,0,2916,1,2048,,,,,,,,,,
-5.0,555.1428571428571,2,1964,2,4096,0.0003,0.011123344,-2.0735337026417255,10,0.2,0.012407171539962292,0.054638671875,-0.5106997489929199,0.027348811262345406,-0.0073519709534593854
-5.0,554.2727272727273,3,1786,3,6144,0.0003,0.007363086,-2.06566801443696,20,0.2,-0.028890106827020645,0.0369140625,0.6749343872070312,0.01877498602407286,-0.006546144206367899
-5.0,557.1428571428571,4,1703,4,8192,0.0003,0.0077338405,-2.0636338837444783,30,0.2,0.01253461092710495,0.04990234375,0.8252347558736801,0.013498554156103636,-0.00806651020393474
-5.0,566.2222222222222,6,1664,5,10240,0.0003,0.007914403,-2.0523251362144945,40,0.2,0.0035136286169290543,0.058642578125,0.818414956331253,0.01797071011242224,-0.008766718029801269
-4.954545454545454,553.8636363636364,7,1642,6,12288,0.0003,0.008834814,-2.049123388528824,50,0.2,-0.005581723526120186,0.05791015625,0.7876838594675064,0.014338060925365426,-0.009347433379662106
-4.96,565.96,8,1620,7,14336,0.0003,0.0064622615,-2.042773651331663,60,0.2,-0.0013781841844320297,0.034375,0.8028904944658279,0.016594603647536132,-0.004708152832608903
-4.928571428571429,567.9642857142857,10,1605,8,16384,0.0003,0.008090416,-2.022957815229893,70,0.2,-0.028263967484235764,0.08505859375,0.8307163566350937,0.01243711691131466,-0.009133826787001453
-4.935483870967742,580.741935483871,11,1597,9,18432,0.0003,0.007683536,-2.0211350724101065,80,0.2,-0.01161123812198639,0.061767578125,0.7933925837278366,0.019796821847558023,-0.0081967306578008
-4.942857142857143,584.6571428571428,12,1588,10,20480,0.0003,0.005098475,-1.9881881304085254,90,0.2,0.01855292357504368,0.029736328125,0.8524983376264572,0.011660227090760599,-0.004541204991255654
-4.945945945945946,591.3783783783783,14,1584,11,22528,0.0003,0.008270765,-1.991530730202794,100,0.2,-0.0068728867918252945,0.065283203125,0.7991137802600861,0.01629042176209623,-0.010285751490300754
-4.95,604.25,15,1579,12,24576,0.0003,0.006590899,-1.995553932711482,110,0.2,-0.019024306908249855,0.055810546875,0.8090585768222809,0.013139481577672996,-0.009633954446326243
-4.954545454545454,601.3636363636364,16,1576,13,26624,0.0003,0.0061124056,-2.001321006938815,120,0.2,-0.0015597902238368988,0.035498046875,0.8086786568164825,0.013734432808996644,-0.006906671021715738
-4.9361702127659575,600.7446808510638,18,1574,14,28672,0.0003,0.0066768117,-1.9813949432224036,130,0.2,0.0030207643285393715,0.03603515625,0.8429174721240997,0.012144875544618117,-0.004774685225493158
-4.92,608.0,19,1569,15,30720,0.0003,0.005955592,-1.974839700013399,140,0.2,-0.0075805578380823135,0.041357421875,0.7725380212068558,0.017583585870306707,-0.007517228952929144
-4.90566037735849,609.7735849056604,20,1567,16,32768,0.0003,0.0076489793,-1.942721338197589,150,0.2,0.008126124739646912,0.067431640625,0.7762889564037323,0.019030138713424093,-0.012075917982292595
-4.892857142857143,616.1964285714286,22,1565,17,34816,0.0003,0.006370847,-1.9556109689176082,160,0.2,-0.02451585978269577,0.044091796875,0.7960030138492584,0.017540697618096603,-0.007882641817559488
-4.898305084745763,616.4067796610169,23,1562,18,36864,0.0003,0.009226405,-1.9491036977618932,170,0.2,-0.020347420126199722,0.084423828125,0.7784709632396698,0.018697795137995854,-0.009141314448788762
-4.888888888888889,612.2857142857143,24,1558,19,38912,0.0003,0.008599108,-1.9434110201895236,180,0.2,-0.006386528257280588,0.08056640625,0.7886662781238556,0.017487904406152666,-0.009954349306644872
-4.895522388059701,606.8955223880597,26,1556,20,40960,0.0003,0.006147661,-1.9355638932436705,190,0.2,5.245767533779144e-05,0.0578125,0.7771154791116714,0.015381715061084832,-0.00801822181820171
